Volatility 3 Framework 1.2.1-beta.1

PID	Process	Args

4	System	Required memory at 0x20 is not valid (process exited?)
88	Registry	Required memory at 0x20 is not valid (process exited?)
348	smss.exe	\SystemRoot\System32\smss.exe
436	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
508	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
528	wininit.exe	wininit.exe
564	winlogon.exe	winlogon.exe
648	services.exe	C:\Windows\system32\services.exe
664	lsass.exe	C:\Windows\system32\lsass.exe
764	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
792	fontdrvhost.ex	"fontdrvhost.exe"
800	fontdrvhost.ex	"fontdrvhost.exe"
884	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
968	dwm.exe	"dwm.exe"
60	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p
384	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
1052	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
1092	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
1168	MemCompression	Required memory at 0x20 is not valid (process exited?)
1248	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
1284	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p
1312	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
1320	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
1408	spoolsv.exe	C:\Windows\System32\spoolsv.exe
1416	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1860	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p
1884	MsMpEng.exe	"C:\Program Files\Windows Defender\MsMpEng.exe"
1900	SecurityHealth	C:\Windows\system32\SecurityHealthService.exe
1268	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p
2144	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
2672	sihost.exe	sihost.exe
2712	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup
2764	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
2956	ctfmon.exe	"ctfmon.exe"
2184	userinit.exe	Required memory at 0x9baef1b020 is not valid (process exited?)
2316	explorer.exe	C:\Windows\Explorer.EXE
3256	chrmstp.exe	Required memory at 0x80c88e9020 is not valid (process exited?)
3520	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
3708	ShellExperienc	"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca
4052	SearchUI.exe	Required memory at 0x20bfbc03548 is inaccessible (swapped)
4064	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
2528	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
4104	ApplicationFra	C:\Windows\system32\ApplicationFrameHost.exe -Embedding
4448	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
4504	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
4660	MicrosoftEdge.	Required memory at 0x635b8fd020 is not valid (process exited?)
3936	RuntimeBroker.	Required memory at 0xed3a526020 is not valid (process exited?)
5680	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5928	MSASCuiL.exe	"C:\Program Files\Windows Defender\MSASCuiL.exe" 
6032	OneDrive.exe	"C:\Users\Jimmie Castora\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background
6072	cmd.exe	Required memory at 0x39c170a020 is not valid (process exited?)
6080	cmd.exe	Required memory at 0x39cddf2020 is not valid (process exited?)
6096	explorer.exe	Required memory at 0x56b020 is not valid (process exited?)
3436	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
6432	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
4332	GoogleCrashHan	Required memory at 0xd95020 is inaccessible (swapped)
5936	GoogleCrashHan	"C:\Program Files (x86)\Google\Update\1.3.35.452\GoogleCrashHandler64.exe"
6756	SgrmBroker.exe	C:\Windows\system32\SgrmBroker.exe
3304	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
